City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kaeo,-35.1,173.7833,20.74,73,87,3.17,NZ,1669935870
1,punta arenas,-53.15,-70.9167,10.35,69,100,8.71,CL,1669935871
2,igurusi,-8.85,33.85,17.4,88,98,0.42,TZ,1669935871
3,hobart,-42.8794,147.3294,17.92,62,20,3.6,AU,1669935622
4,rikitea,-23.1203,-134.9692,23.72,76,100,4.43,PF,1669935517
5,havoysund,70.9963,24.6622,3.13,91,99,3.2,NO,1669935874
6,ushuaia,-54.8,-68.3,12.81,50,75,6.17,AR,1669935522
7,hami,42.8,93.45,-8.88,21,100,0.72,CN,1669935417
8,vaini,-21.2,-175.2,29.09,74,20,2.57,TO,1669935526
9,port elizabeth,-33.918,25.5701,17.95,95,11,2.24,ZA,1669935876
10,raga,8.4596,25.678,25.25,32,100,1.37,SS,1669935878
11,leningradskiy,69.3833,178.4167,-2.87,83,100,4.0,RU,1669935743
12,chuy,-33.6971,-53.4616,21.12,94,44,2.98,UY,1669935602
13,tullahoma,35.362,-86.2094,7.04,46,0,2.06,US,1669935617
14,antofagasta,-23.65,-70.4,19.6,80,15,3.14,CL,1669935364
15,javanrud,34.7961,46.5172,7.65,77,7,1.19,IR,1669935879
16,avarua,-21.2078,-159.775,29.03,79,20,5.14,CK,1669935880
17,butaritari,3.0707,172.7902,27.16,78,26,7.47,KI,1669935880
18,souillac,-20.5167,57.5167,23.07,82,1,2.66,MU,1669935881
19,bluff,-46.6,168.3333,10.45,60,59,7.66,NZ,1669935881
20,vestmannaeyjar,63.4427,-20.2734,6.87,66,100,10.5,IS,1669935679
21,nabire,-3.3667,135.4833,24.12,93,100,1.34,ID,1669935882
22,matagami,49.7502,-77.6328,-9.59,87,100,5.5,CA,1669935776
23,baruun-urt,46.6806,113.2792,-22.79,91,54,2.59,MN,1669935882
24,arraial do cabo,-22.9661,-42.0278,23.81,91,53,12.72,BR,1669935883
25,fairbanks,64.8378,-147.7164,-16.77,86,75,1.54,US,1669935608
26,severo-kurilsk,50.6789,156.125,-2.47,73,83,4.56,RU,1669935883
27,kodiak,57.79,-152.4072,2.73,60,0,5.14,US,1669935884
28,tevriz,57.509,72.4042,-23.67,96,24,1.47,RU,1669935884
29,sur,22.5667,59.5289,22.84,48,81,2.6,OM,1669935884
30,ostrovnoy,68.0531,39.5131,-3.26,92,100,5.29,RU,1669935885
31,chokurdakh,70.6333,147.9167,-18.41,97,100,3.91,RU,1669935885
32,saint-augustin,51.226,-58.6502,2.01,99,100,6.1,CA,1669935885
33,namibe,-15.1961,12.1522,21.54,74,100,1.56,AO,1669935886
34,barrow,71.2906,-156.7887,-5.99,93,100,5.66,US,1669935859
35,malangwa,26.8568,85.5581,14.76,66,0,1.68,NP,1669935886
36,new norfolk,-42.7826,147.0587,17.73,53,68,1.34,AU,1669935887
37,avera,33.194,-82.5271,8.64,45,94,2.55,US,1669935887
38,provideniya,64.3833,-173.3,2.06,93,100,6.0,RU,1669935671
39,hermanus,-34.4187,19.2345,16.0,87,40,4.15,ZA,1669935888
40,chilca,-12.5211,-76.7372,19.44,87,27,2.82,PE,1669935888
41,mataura,-46.1927,168.8643,10.27,82,61,3.77,NZ,1669935888
42,longyearbyen,78.2186,15.6401,5.91,65,75,4.12,SJ,1669935889
43,busselton,-33.65,115.3333,15.08,79,3,2.37,AU,1669935889
44,puerto ayora,-0.7393,-90.3518,20.86,90,82,2.68,EC,1669935890
45,jamestown,42.097,-79.2353,-0.23,89,100,3.09,US,1669935890
46,luderitz,-26.6481,15.1594,17.24,85,0,8.56,NA,1669935640
47,port lincoln,-34.7333,135.8667,19.41,69,0,4.87,AU,1669935624
48,ilulissat,69.2167,-51.1,-21.86,83,16,3.89,GL,1669935891
49,simao,22.7886,100.9748,13.33,99,68,0.54,CN,1669935891
50,tamandare,-8.7597,-35.1047,25.72,81,54,4.75,BR,1669935892
51,saint george,37.1041,-113.5841,13.57,37,20,0.0,US,1669935892
52,hilo,19.7297,-155.09,29.04,83,30,1.34,US,1669935691
53,saint anthony,45.0205,-93.218,0.14,64,0,6.17,US,1669935893
54,carroll,39.5501,-77.0164,3.18,51,0,2.68,US,1669935893
55,port alfred,-33.5906,26.891,18.99,89,54,1.34,ZA,1669935893
56,castro,-24.7911,-50.0119,18.02,87,6,0.84,BR,1669935450
57,cape girardeau,37.3834,-89.7168,3.9,51,16,3.64,US,1669935894
58,norrtalje,59.758,18.705,3.34,96,100,2.54,SE,1669935894
59,narsaq,60.9167,-46.05,-5.88,78,34,1.9,GL,1669935895
60,upernavik,72.7868,-56.1549,-18.82,99,86,8.59,GL,1669935895
61,hithadhoo,-0.6,73.0833,27.09,68,38,3.12,MV,1669935895
62,fortuna,40.5982,-124.1573,9.25,89,20,2.57,US,1669935896
63,alyangula,-13.8483,136.4192,29.83,57,84,2.35,AU,1669935896
64,grindavik,63.8424,-22.4338,5.26,81,75,10.29,IS,1669935897
65,thompson,55.7435,-97.8558,-25.91,70,40,1.03,CA,1669935897
66,zhigansk,66.7697,123.3711,-27.15,99,100,2.53,RU,1669935629
67,san andres,12.5847,-81.7006,28.01,78,20,4.12,CO,1669935898
68,talnakh,69.4865,88.3972,-16.91,99,100,1.69,RU,1669935898
69,cassia,-20.5831,-46.9219,20.97,89,86,0.84,BR,1669935898
70,bambous virieux,-20.3428,57.7575,22.34,76,31,2.94,MU,1669935899
71,college,64.8569,-147.8028,-14.82,86,75,2.06,US,1669935899
72,elmadag,39.9208,33.2308,7.97,90,81,2.12,TR,1669935900
73,belmonte,-15.8631,-38.8828,24.87,88,100,7.0,BR,1669935781
74,qaanaaq,77.484,-69.3632,-31.95,75,3,3.34,GL,1669935900
75,tuktoyaktuk,69.4541,-133.0374,-16.15,95,100,6.09,CA,1669935901
76,port-cartier,50.0334,-66.8654,-2.88,79,59,6.8,CA,1669935901
77,honningsvag,70.9821,25.9704,2.86,93,75,2.06,NO,1669935902
78,vao,-22.6667,167.4833,26.05,86,98,9.56,NC,1669935902
79,kirakira,-10.4544,161.9205,28.59,75,99,2.6,SB,1669935903
80,yellowknife,62.456,-114.3525,-24.13,97,99,1.38,CA,1669935659
81,pisco,-13.7,-76.2167,21.03,78,0,8.23,PE,1669935903
82,kamenka,51.3223,42.7678,-5.5,73,45,2.81,RU,1669935904
83,carnarvon,-24.8667,113.6333,21.13,74,0,6.1,AU,1669935904
84,marzuq,14.4,46.4667,16.73,46,0,0.86,YE,1669935904
85,mar del plata,-38.0023,-57.5575,17.83,87,80,5.81,AR,1669935622
86,haines junction,60.7522,-137.5108,-9.7,93,100,2.19,CA,1669935905
87,salamiyah,35.0113,37.0532,11.71,80,1,1.04,SY,1669935905
88,airai,-8.9266,125.4092,18.72,63,27,0.59,TL,1669935906
89,hovd,48.0056,91.6419,-19.21,63,90,1.65,MN,1669935906
90,talaya,61.3833,152.75,-31.69,100,100,0.71,RU,1669935906
91,salalah,17.0151,54.0924,23.05,73,0,1.54,OM,1669935907
92,ust-barguzin,53.45,108.9833,-17.77,83,100,3.3,RU,1669935907
93,yar-sale,66.8333,70.8333,-20.13,91,69,5.01,RU,1669935908
94,inhambane,-23.865,35.3833,22.47,88,6,3.35,MZ,1669935908
95,bilma,18.6853,12.9164,19.72,25,47,2.98,NE,1669935908
96,cherskiy,68.75,161.3,-28.68,98,92,2.17,RU,1669935909
97,brezno,48.8043,19.6363,0.85,80,51,0.83,SK,1669935909
98,lashio,22.9333,97.75,14.97,99,24,0.5,MM,1669935910
99,zlobin,45.2924,14.6541,3.61,77,75,2.06,HR,1669935910
100,jijiga,9.35,42.8,14.89,60,4,2.5,ET,1669935911
101,khani,41.9563,42.9566,5.76,74,93,2.64,GE,1669935911
102,santa rosa,14.3122,121.1114,26.99,80,100,6.16,PH,1669935911
103,hasaki,35.7333,140.8333,9.01,78,100,5.78,JP,1669935912
104,pevek,69.7008,170.3133,-8.51,95,98,6.02,RU,1669935912
105,alofi,-19.0595,-169.9187,26.1,76,76,0.68,NU,1669935684
106,namatanai,-3.6667,152.4333,29.07,69,99,2.0,PG,1669935913
107,saskylakh,71.9167,114.0833,-31.87,100,98,1.59,RU,1669935670
108,changping,40.2186,116.2197,-12.2,19,74,0.56,CN,1669935913
109,nikolskoye,59.7035,30.7861,-9.0,87,99,1.52,RU,1669935914
110,jacareacanga,-6.2222,-57.7528,24.92,89,69,1.36,BR,1669935914
111,trincomalee,8.5711,81.2335,26.43,80,36,2.56,LK,1669935915
112,saint-philippe,-21.3585,55.7679,22.77,80,18,1.71,RE,1669935915
113,ust-omchug,61.15,149.6333,-25.44,99,100,1.03,RU,1669935915
114,cape town,-33.9258,18.4232,18.48,82,46,1.79,ZA,1669935893
115,victoria,22.2855,114.1577,15.14,75,100,5.81,HK,1669935916
116,glendive,47.1053,-104.7125,-2.51,74,100,5.14,US,1669935916
117,marand,38.4329,45.7749,6.08,84,96,0.6,IR,1669935917
118,barra patuca,15.8,-84.2833,25.58,85,9,5.06,HN,1669935917
119,oistins,13.0667,-59.5333,25.7,77,4,7.48,BB,1669935693
120,guiong,6.4186,122.0258,26.44,85,96,1.64,PH,1669935918
121,riyadh,24.6877,46.7219,19.58,33,7,1.43,SA,1669935696
122,port hardy,50.6996,-127.4199,-3.52,58,15,2.46,CA,1669935626
123,xuanzhou,30.9525,118.7553,0.19,84,100,1.57,CN,1669935918
124,mount gambier,-37.8333,140.7667,16.28,55,8,2.62,AU,1669935875
125,nome,64.5011,-165.4064,-4.96,86,100,6.17,US,1669935870
126,flin flon,54.7682,-101.865,-20.37,96,100,3.45,CA,1669935919
127,caorle,45.5966,12.8758,7.25,87,100,8.49,IT,1669935919
128,quatre cocos,-20.2078,57.7625,22.27,77,32,2.82,MU,1669935920
